id,api_output,correctness,true_answer
10,"David Niven won his only Academy Award for Best Actor for his performance in the film ""Separate Tables"" in 1959.",True,"['Separate Tables', 'SEPARATE TABLES', 'Separate tables', 'separate tables', 'separate tables play', 'Separate Tables (play)']"
11,"The phrase ""the rest is silence"" is spoken by the title character in William Shakespeare's play ""Hamlet."" These are Hamlet's final words before he dies in Act V, Scene 2.",True,"['Hamlet', 'tragedy of hamlet prince of denmark', 'hamlet', 'The Tragedy of Hamlet, Prince of Denmark', 'Hamlet (play)', 'Hamlet, Prince of Denmark', 'Marcellus (Hamlet)', 'murder of gonzago', 'man delights not me', 'hamlet of denmark', 'Tragical History of Hamlet Prince of Denmark', 'revenge of hamlett prince of denmarke', 'marcellus hamlet', 'The Revenge of Hamlett, Prince of Denmarke', 'goodnight sweet prince', 'Hamlet (Shakespeare)', 'Goodnight sweet prince', 'william shakespeare s hamlet', ""William Shakespeare's Hamlet"", 'tragicall historie of hamlet prince of denmarke', 'Bernardo (character)', 'The Murder of Gonzago', 'The Tragicall Historie of Hamlet, Prince of Denmarke', 'The Tragical History Of Hamlet Prince of Denmark', 'hamletian', 'hamlet shakespeare', 'The Murder Of Gonzago', 'Man delights not me', 'The Tragedy of Hamlet Prince of Denmark', 'The tragical history of Hamlet', 'The Tragical History of Hamlet, Prince of Denmark', 'Hamletian', 'Hamlet of Denmark', 'The Tragicall Historie of Hamlet, Prince of Denmarke.', 'Bernardo (Hamlet)', 'hamlet play', 'Tragical History of Hamlet, Prince of Denmark', 'bernardo hamlet', 'hamlet prince of denmark', 'The Tragedy Of Hamlet Prince Of Denmark', 'tragedy of hamlet', 'tragical history of hamlet prince of denmark', 'bernardo character', 'tragical history of hamlet', 'The Tragedy of Hamlet']"
12,"The Channel 4 TV show that featured presenters Mark Lamarr, Amanda De Cadenet, and Terry Christian is ""The Word."" The show was known for its mix of music, interviews, and controversial topics, and it aired in the 1990s.",True,"['The Word', 'The Word', 'The Word', 'The Word', 'The word', 'word', 'word disambiguation', 'The Word (disambiguation)', 'word film', 'The Word (film)']"
13,"Highclere Castle in Hampshire is the filming location for the ITV1 series ""Downton Abbey."" The castle serves as the primary setting for the show, which has gained significant popularity since its debut.",True,"['Downton Abbey', 'Downton Abbey', 'Downton Abbey', 'Lavinia Swire', 'donton abbey', 'lavinia swire', 'Donton Abbey', 'Downtown abbey', 'Downtown Abbey', 'downtown abbey', 'Downton abbey', 'downton abbey']"
14,"The 1987 film 'Cry Freedom' is a biographical drama about South African civil rights leader Steve Biko. The film focuses on Biko's life and his activism against apartheid, as well as his relationship with journalist Donald Woods.",True,"['Steve Biko', 'steven biko', 'Bantu Steven Biko', 'Stephen Bantu Biko', 'stephen biko', 'Steve Bantu Biko', 'Steven Biko', 'stephen bantu biko', 'Gerhardus Hattingh', 'steve biko', 'steve bantu biko', 'gerhardus hattingh', 'bantu steven biko', 'Stephen Biko']"
15,"The Gunfight at the OK Corral took place in Tombstone, Arizona, in 1881.",True,"['Tombstone', 'Headstones', 'tomb stone', 'Memorial stone', 'grave stone', 'headstones', 'Head-stone', 'Gravestone', 'tombstones', 'Gravemarker', 'gravemarker', 'Grave marker', 'headstone', 'Grave stone', 'grave marker', 'gravestones', 'tombstone', 'gravestone', 'Tomb stone', 'memorial stone', 'Tombstones', 'Tombstone (burial)', 'Tomb-stone', 'Headstone', 'head stone', 'tombstone burial', 'Gravestones', 'Grave-stone', 'Head stone']"
16,"Composite, shield, and cinder cone are all types of volcanoes. Each type has distinct characteristics related to its shape, eruption style, and the materials that make up its structure.",True,"['Erupt', 'Volcanoe facts', 'Last eruption', 'Rift volcano', 'Valcanos', 'Erupting volcano', 'inactive volcano', 'potentially active volcano', 'Volcanoe', 'valcanos', 'Volcanic aerosols', 'active volcano', 'Extinct volcano', 'Active Volcano', 'erupting volcano', 'volcanic vents', 'Inactive volcano', 'all about volcanos', 'crater row', 'dormant volcanoes', 'Active worlds in the Solar System', 'last eruption', 'dormant volcano', 'volcano geological landform', 'volcanic', 'Volcanicity', 'Volcanic activity', 'volcano eruption', 'Dormant volcanoes', 'Volcanic mountains', 'volcanic vent', 'Volcanoes', 'rift volcano', 'volcanoes', 'Extinct Volcano', 'volcanic activity', 'volcanic mountains', 'volcanoe', 'Dormant volcano', 'Volcanos', 'Volcano eruption', 'volcanic aerosols', 'Crater Row', 'active worlds in solar system', 'Active volcano', 'Valcano', 'Potentially active volcano', 'All about Volcanos', 'most active volcano', 'Most active volcano', 'most active volcanoes', 'Most-active volcano', 'volcanoe facts', 'volcanicity', 'volcanos', 'erupt', 'Volcanic mountain', 'extinct volcano', 'volcano', 'Most-active volcanoes', 'Volcano', 'Extinct volcanoes', 'valcano', 'Volcanic', 'Volcanic vents', '🌋', 'volcanic mountain', 'Volcano (geological landform)', 'extinct volcanoes', 'Volcanic vent']"
17,"The first solo UK number 1 single ""I Only Have Eyes for You"" was by Art Garfunkel in September 1975.",True,"['Art Garfunkel', 'Art garfunkel', 'garfunckel', 'Garfunckel', 'Arthur Garfunkel', 'Garfunckle', 'art garfunkel', 'Art Garfunkle', 'Tom Graph', 'Art garfunkle', 'tom graph', 'garfunkl', 'garfunckle', 'arthur garfunkel', 'Garfunkl', 'art garfunkle']"
18,Brazil hosted the 2014 FIFA World Cup.,True,"['Brazil', 'Brazil', 'Brasil', 'ISO 3166-1:BR', 'Barzil', 'federal republic of brazil', 'Brésil', 'bresil', 'Brzil', 'brazilian republic', 'brzil', 'brazil country', 'etymology of brazil', 'Bresil', 'Republic of Brazil', 'Brazilo', 'iso 3166 1 br', 'brassil', 'Federal Republic of Brazil', 'Brassil', 'brasil', 'Etymology of Brazil', 'Republica Federativa do Brasil', 'Brazil (country)', 'Federative Republic of Brazil', 'republic of brazil', 'brésil', 'brazil', 'republica federativa do brasil', 'Brazilian Republic', 'brazilian federative republic', 'brazilo', 'Brazilian Federative Republic', 'república federativa do brasil', 'República Federativa do Brasil', 'federative republic of brazil', 'barzil']"
19,"The quote ""I married beneath me, all women do"" is attributed to the British politician and aristocrat **Lady Nancy Astor**. She was the first woman to take her seat in the House of Commons in the UK, serving from 1919 to 1945.",True,"['Nancy Astor, Viscountess Astor', 'Nancy Witcher Astor, Viscountess Astor, CH', 'Viscountess Astor', 'Lady Astor', 'Nancy Witcher Langhorne', 'Nancy Witcher Astor, Viscountess Astor', 'Nancy Langhorne', 'Nancy Astor', 'lady nancy astor', 'nancy astor mini series', 'Astor, Nancy Witcher Langhorne, Viscountess Astor', 'nancy w astor', 'astor nancy witcher langhorne viscountess astor', 'Nancy Astor (mini-series)', 'viscountess astor', 'Nancy Witcher (Langhorne) Astor', 'nancy astor', 'nancy witcher astor viscountess astor', 'lady astor', 'nancy witcher langhorne', 'nancy langhorne', 'nancy witcher astor viscountess astor ch', 'nancy witcher langhorne viscountess astor astor', 'viscountess astor astor nancy witcher langhorne', 'Lady Nancy Astor', 'nancy astor viscountess astor', 'Nancy astor', 'Nancy W. Astor', 'Nancy Witcher Astor', 'Viscountess Astor Astor Nancy Witcher Langhorne', 'Nancy Witcher Langhorne, Viscountess Astor Astor', 'nancy witcher langhorne astor', 'nancy witcher astor']"
20,The racecourse in Louisville where the Kentucky Derby is run is called Churchill Downs.,True,"['CHURCHILL DOWNS', 'Churchill Downs', 'Churchill Downs', 'churchill downs racetrack', 'churchill downs', 'Churchill Downs Racetrack']"
21,The most recent census in the UK was conducted in 2021.,False,"['2001', 'two thousand and one']"
22,"The character played by John Travolta in ""Saturday Night Fever"" is named Tony Manero.",True,"['Tony', 'Tony', 'tony footballer', 'Tony (footballer)', 'Tony (film)', 'Tony (disambiguation)', 'tony disambiguation', 'Tonie', 'tonie', 'tony film', 'tony']"
23,The political treatise ‘The Prince’ was written by Niccolò Machiavelli. It was published posthumously in 1532 and is considered one of the foundational texts of modern political philosophy.,True,"['Niccolò Machiavelli', 'Machiavellia', 'Machiavelli', ""Machiavelli's"", 'Nioccolo Machiavelli', 'nicoló machiavelli', 'Machiavellian test', 'machiavellian test', 'macchiavelianism', 'macchiavelli', 'Niccolo Machiavelli', 'macchiavelian', 'nicoli machiavelli', 'Macavelli', 'Niccol Machiavelli', 'Niccolò di Bernardo dei Machiavelli', 'marietta corsini', 'machevelli', 'machiavilli', 'niccol machiavelli', 'machaevelli', 'Machiavelian', 'Machaevelli', 'Macchiavelian', 'Makiavelo', 'Machavellian', 'Macchiaveli', 'machievelli', 'niccolò di bernardo dei machiavelli', 'Niccolo Macchiavelli', 'macavhelli', 'Nicolo Machiavelli', 'Niccolo di Bernardo dei Machiavelli', 'Machiavelli, Niccolò', 'Macavhelli', 'machiavellia', 'Machiaveli', 'Macchiavelianism', 'Machievel', ""Niccolo' Macchiavelli"", 'Nicollo Machiavelli', 'machiavelian', 'Nicolò Machiavelli', 'niccolò machiavelli', 'Machevelli', 'machiavelli', 'Machiavelliism', 'machavellian', 'machiavelli niccolo', 'Marietta Corsini', 'Macchiavelli', 'Nicole Machiavelli', 'Machiavelli, Niccolo', 'machavelli', 'niccolo di bernardo dei machiavelli', 'machiavelliism', 'Nicoli Machiavelli', 'niccoló macchiavelli', 'nicholas machiavelli', 'nicolo machiavelli', 'machiavelli niccolò', 'nicollo machiavelli', 'machievel', 'machiavelli s', 'nicole machiavelli', 'niccolò macchiavelli', 'nicholas machiavell', 'fawce', 'Nicoló Machiavelli', 'machiaveli', 'macavelli', 'machiavelians', 'Machiavilli', 'Nicholas Machiavelli', 'Niccolò Macchiavelli', 'nioccolo machiavelli', 'Fawce', 'niccolo macchiavelli', 'nicolò machiavelli', 'Nicholas Machiavell', 'Machievelli', 'macchiaveli', 'Niccol%5CxC3%5CxB2 Machiavelli', 'Niccoló Macchiavelli', 'Machavelli', 'makiavelo', 'niccolo machiavelli', 'niccol 5cxc3 5cxb2 machiavelli', 'Machiavelians']"
24,"The largest known volcano in our solar system is Olympus Mons, which is located on Mars. It stands about 13.6 miles (22 kilometers) high, making it nearly three times the height of Mount Everest.",True,"['Mars', 'Mars', 'Mars', 'magnetosphere of mars', 'sol iv', 'Mars (Planet)', '2003 opposition of mars', 'physical characteristics of mars', 'fourth planet', 'Sol 4', 'Sun e', 'Fourth planet', 'planet mars', 'mars orbit', 'Marte (planet)', 'Sol IV', 'marte planet', 'Physical characteristics of Mars', 'mars surface features', 'Planet Mars', 'hydrology of mars', '4th planet', 'Mars surface features', 'sol e', 'Mars/Planet', 'sol 4', 'oblate mars', '2003 opposition of Mars', 'Sol e', 'mars opposition', 'Magnetosphere of Mars', 'Oblate Mars', 'mars', 'Mars orbit', 'Mars (planet)', 'Sol-4', 'Mars opposition', 'mars planet', 'Opposition of Mars', 'sun e', 'opposition of mars', 'Hydrology of Mars']"
25,"Democratic elections were held in May 1989 in Panama. Guillermo Endara was elected president, but the results were annulled by the existing government led by Manuel Noriega.",True,"['Panamanian', 'Panamanian', 'Panamanian', 'Panama', 'Panama', 'Panama', 'Republic of Panama', 'Panamá', 'Republic of Panamá', 'panamanian', 'iso 3166 1 pa', 'etymology of panama', 'Administrative divisions of Panama', 'república de panamá', 'República de Panamá', 'panamà', 'Panamà', 'Etymology of Panama', 'ISO 3166-1:PA', 'Subdivisions of Panama', 'Sport in Panama', 'panama', 'republic of panama', 'sport in panama', 'Name of Panama', 'subdivisions of panama', 'administrative divisions of panama', 'name of panama', 'panamá', 'republic of panamá']"
26,"The book ""Don Quixote"" was written by the Spanish author Miguel de Cervantes. It was first published in two parts, with the first part released in 1605 and the second part in 1615. ""Don Quixote"" is considered one of the greatest works of literature and is often regarded as the first modern novel.",True,"['The proof of the pudding', 'Cervantes', 'Miguel de Cervantes', 'cervantès', 'Cervantès', 'cervantes saavedra miguel de', 'cervantes', 'miguel saavedra de cervantes', 'Miguel De Cervantes', 'miguel de cervantes saavedra', 'Miguel de Cervantes y Saavedra', 'Cervantes Saavedra, Miguel de', 'michael de cervantes saavedra', 'Don Miguel de Cervantes y Saavedra', 'Michael de Cervantes Saavedra', 'miguel cervantez', 'Cervantes Saavedra', 'cervantes saavedra miguel de writer', 'Miguel saavedra de cervantes', 'don miguel cervantes y saavedra', 'miguel de servantes', 'Miguel Cervantes', 'saavedra cervantes', 'Miguel de Cervantes-Saavedra', 'don miguel de cervantes y saavedra', 'Saavedra Cervantes', 'Miguel de cervantes saavedra', 'Miguel de cervantes', 'Miguel de servantes', 'proof of pudding', 'Miguel Cervantez', 'Cervantes Saavedra, Miguel de--Writer', 'Servantes', 'miguel de cervantes', 'servantes', '(Miguel de) Cervantes', 'miguel cervantes', 'de cervantes', 'Miguel Saavedra de Cervantes', 'cervantes saavedra', 'miguel de cervantes y saavedra', 'Miguel de Cervantes Saavedra', 'De Cervantes', 'Miguel de Servantes', 'Don miguel cervantes y saavedra', 'Don Miguel Cervantes y Saavedra']"
27,"In Arthurian legend, it is Sir Bedivere who throws Excalibur back into the Lake. After King Arthur is mortally wounded in battle, he instructs Bedivere to return the sword to the Lady of the Lake. Initially hesitant, Bedivere ultimately fulfills Arthur's request and throws Excalibur into the water, where it is received by the Lady of the Lake.",True,"['Bedrydant', 'Bedevere', 'Bedivere', 'Bedivere', 'Bedivere', 'Bedwyr', 'Bedwyr', 'Bedwyr Bedrydant', 'bedoier', 'sir bedevere', 'Bédoier', 'bédoier', 'bedivere of perfect sinews', 'BEDIVERE', 'bedivere', 'Bewyr', 'Bedoier', 'Bedivere of the Perfect Sinews', 'bedwyr', 'bedrydant', 'Sir Bedevere', 'bedwyr bedrydant', 'bedevere', 'bewyr']"
28,The car manufacturer with its headquarters at Martorell near Barcelona is SEAT.,True,"['SEAT', 'SEAT', 'S.E.A.T.', 'Sociedad Española de Automóviles de Turismo', 'SEAT, S.A.', 'Sociedad Espanola de Automoviles de Turismo', 'seat s', 'SEAT S.A.', 'S. E. A. T.', 's e t', 'sociedad espanola de automoviles de turismo', 'seat', 'sociedad española de automóviles de turismo']"
29,"An analgesic drug is commonly called a painkiller. These medications are used to relieve pain and can include both over-the-counter options, like acetaminophen (Tylenol) and ibuprofen (Advil), as well as prescription medications, such as opioids.",True,"['Analgesic drugs', 'Analgesics', 'Analgesic', 'analgetics', 'pain killing drug', 'Painkillers', 'topical analgesic', 'painkillers', 'Analgesic effects on digestion', 'Topical analgesic', 'analgesic effects on digestion', 'Pain killers', 'pain medication', 'analgesia', 'Pain pills', 'analgetic', 'painkiller', 'Analgaesic', 'Pain killing drug', 'analgaesic', 'algesic', 'Pain medication', 'pain pills', 'Pain-reliever', 'antinociception', 'Pain Killer', 'Nonopiod analgesics', 'Pain reliever', 'Analgetic', 'pain relievers', 'nonopiod analgesics', 'pain medications', 'Pain killing', 'analgesic', 'Pain-killers', 'Pain Relievers', 'pain killing', 'analgesic drugs', 'Pain-killing', 'Pain-killer', 'Algesic', 'pain killer', 'Analgesia', 'Analgetics', 'pain killers', 'pain reliever', 'Painkiller', 'Antinociception', 'Pain killer', 'analgesics', 'Pain medications']"
30,The moons of Uranus are named after characters from the works of William Shakespeare.,True,"['Sun h', 'Uranus', 'Uranus', 'Uranus', 'uranus', 'discovery of uranus', 'Magnetosphere of Uranus', 'Urano (planet)', 'Sol VII', 'Astronomy Uranus', 'Seventh planet', 'planet uranus', 'george s star', '34 Tauri', 'Sol h', 'georgium sidus', ""George's Star"", 'sao 158687', 'Uranos (planet)', 'magnetosphere of uranus', 'SAO 158687', 'sol vii', '7th planet', 'Georgian planet', 'Uranus (astronomy)', 'Planet Uranus', 'uranus planet', 'uranos planet', 'sol h', '34 tauri', 'Sol-7', 'Uranus (Planet)', 'hd 128598', 'georgian planet', 'HD 128598', 'Georgium Sidus', '⛢', 'sol 7', 'Discovery of Uranus', '♅', 'Sol 7', 'Uranus (planet)', 'sun h', 'astronomy uranus', 'seventh planet', 'urano planet', 'uranus astronomy']"
31,The river that flows through Cologne is the Rhine River.,True,"['Rhine', 'Rhine', 'The Rhine', 'The Rhine', 'Rhine river', 'Rhine basin', 'Rijn', 'River Rhine', 'Length of the Rhine', 'Rhein (river)', 'rhinen', 'rhein river', 'river rhine pollution november 1986', 'Rhine mouth', 'alpenrhein river', 'Rhine (river)', 'Rhinen', 'Rhine River', 'rhine basin', 'rayn', 'Rhinewater', 'rhine mouth', 'Rayn', 'upper rhine river plains', 'Rhein River', 'Alpenrhein River', 'rhine estuary', 'river rhine', 'River Rhine Pollution: November 1986', 'rhinewater', 'rhine', 'Upper Rhine River Plains', 'Rhine Estuary', 'length of rhine', 'rhine river', 'River Rhein', 'rijn', 'river rhein']"
32,Tintern Abbey stands on the banks of the River Wye in Wales.,True,"['Wye', 'wye', 'wye disambiguation', 'wye river', 'Wye (disambiguation)', 'Wye River']"
33,"President Gerald Ford controversially granted Richard Nixon a full pardon over the Watergate scandal. This decision was made in September 1974, shortly after Nixon resigned from the presidency.",True,"['Ford administration', 'President Gerald Ford', 'Gerald Ford', 'Gerald Ford', 'Gerald Ford', '38th President of the United States', '38th President of the United States', '38th President of the United States', '38th President of the United States', 'President Ford', 'President Ford', 'gerald ford', 'Presidency of gerald ford', 'nixon pardon', 'Presidency of Gerald R. Ford', 'Presidency of Gerald Ford', 'Presidency of Gerald Ford administration', 'Gerald R. Ford, Jr', 'Gerald fod', 'Leslie Lynch King', 'Gerald R Ford', 'Leslie King, Jr', 'gerald r ford jr', 'gerald rudolph ford', 'leslie l king', 'Assassination attempts on Gerald Ford', 'Leslie Lynch King Jr.', 'u s president gerald ford', 'Ford Administration', 'gerald rudolph jr ford', 'Leslie Lynch King Jr', 'leslie lynch king jr', 'Gerald ford', 'Nixon pardon', 'presidency of gerald r ford', 'president gerald ford', 'gerald r ford', 'birth and life of gerald ford', 'Gerald Rudolph Ford', 'president gerald r ford', 'gerald rudolph ford jr', 'gerald fod', 'Vice President Ford', 'Birth and life of Gerald Ford', 'President Gerald R. Ford', 'Gerald R. Ford', 'Leslie L. King', 'leslie king jr', 'presidency of gerald ford', 'vice president ford', 'Gerald R. Ford, Jr.', 'Leslie King, Jr.', 'Gerald Ford, Jr.', 'president ford', 'assassination attempts on gerald ford', 'gerry ford', 'Gerald Rudolph Ford, Jr.', '38th president of united states', 'Leslie Lynch King, Jr.', 'ford administration', 'jerry ford', 'Jerry Ford', 'Gerald R. Ford Jr.', 'Leslie Lynch King, Jr', 'GERALD FORD', 'Gerry Ford', 'Leslie L King', 'leslie lynch king', 'U.S. President Gerald Ford', 'gerald ford jr', 'presidency of gerald ford administration', 'Gerald Rudolph, Jr. Ford', 'Gerald Rudolph Ford Jr.']"
34,"Roald Dahl's BFG was a big, friendly giant.",True,"['Giant', 'Giant', 'giant', 'giant disambiguation', 'The Giant', 'Giant (film)', 'giant album', 'The Giant (album)', 'giant film', 'Giant (album)', 'giants', 'The Giant (disambiguation)', 'giants disambiguation', 'Giants (album)', 'The Giants', 'Giants (disambiguation)', 'Giants', 'giants album', 'The Giants (disambiguation)', 'Giant (disambiguation)']"
35,"The war you are referring to is the Franco-Prussian War, which took place from 1870 to 1871. This conflict was engineered by Otto von Bismarck and resulted in the siege and surrender of Paris. The war concluded with the unification of German states under the leadership of William I, who was proclaimed Emperor of the German Empire (Kaiser) in the Hall of Mirrors at the Palace of Versailles on January 18, 1871.",True,"['Franco-German war', 'War of 1870', 'Franco–Prussian War', 'Franco-Prussian War', 'Franco-Prussian War', 'Franco-Prussian War', 'Franco-Prussian War', 'Franco-Prussian War', 'Guerre franco-allemande', 'franco german war of 1870', 'France german war', '1870 war', 'Franco/Prussian Wars', 'First Battle of Orleans', 'deutsch franzosischer krieg', 'franco german war', 'French-Prussian War', 'first battle of orleans', 'French german war', 'Franco-prussian war', 'deutsch französischer krieg', 'Franco-German War of 1870', 'german french war', '1870 War', 'guerre franco allemande', 'invasion of france 1870', 'French-German War', 'Invasion of France (1870)', 'french prussian war', 'francoprussian war', 'Deutsch-Französischer Krieg', 'Franco-Prussian war', 'German-French War', 'prussian french war', 'france german war', 'Guerre Franco-Allemande', 'war of 1870', 'Prussian-French war', 'Deutsch-Franzosischer Krieg', 'Francoprussian war', 'franco prussian wars', 'Franco Prussian War', 'french german war', 'French-Prussian war', 'Franco-German War', 'franco prussian war', 'franco–prussian war', 'Battle of Sarrebruck', 'battle of sarrebruck']"
